id;singer;song;ganre;year
93;James, Tim Booth, Martine McDonagh, Jim Glennie, Brian Eno, Saul Davies, David Baynton-Power, Mark Hunter, Larry Gott;Say Something;Rock;2020
94;Monaco;What Do You Want from Me?;Other;2020
95;New Radicals;You Get What You Give;Other;2020
96;Soundgarden;Black Hole Sun;Rock;2020
97;Veruca Salt;Seether;Pop;2020
98;The Verve;Bitter Sweet Symphony;Other;2020
99;The Waterboys;The Whole Of The Moon;Other;2020
100;4 Non Blondes;Spaceman;Pop;2020
101;Artem Dmitriev;Chill 100 (30.05.16) Лучшие из Лучших;Lounge, Chill Out, Nu Disco;2016
102;Artem Dmitriev;Chill 170 (01.01.2018) Мой персональный чарт 2017;Lounge, Chill Out, Nu Disco;2018
103;Artem Dmitriev;Chill 200 (10.09.18) Лучшие из лучших 2;Lounge, Chill Out, Nu Disco;2018
104;Artem Dmitriev;Chill 211 (26.11.18) Russian Tunes Осень 2018;Lounge, Chill Out, Nu Disco;2018
105;Artem Dmitriev;Chill 219 (21.01.19) Жизнь прекрасна;Lounge, Chill Out, Nu Disco;2019
106;Artem Dmitriev aka CHILL;Best of CHILL Autumn 2017 Special Mix;Lounge, Chill Out, Nu Disco;2017
107;Bachman-Turner Overdrive;Takin' Care Of Business;Pop/Rock;2003
108;Lynyrd Skynyrd;Free Bird;Pop/Rock;2003
109;Styx;Renegade;Pop/Rock;2003
110;Peter Frampton;Baby I Love Your Way;Pop/Rock;2003
111;Ozark Mountain Daredevils;Jackie Blue;Pop/Rock;2003
112;Pablo Cruise;Love Will Find A Way;Pop/Rock;2003
113;The Commodores;Easy;Pop/Rock;2003
114;Gloria Gaynor;Never Can Say Goodbye;Pop/Rock;2003
115;Kiki Dee;I've Got The Music In Me;Pop/Rock;2003
116;Kool & The Gang;Jungle Boogie;Pop/Rock;2003
117;The Ohio Players;Fire;Pop/Rock;2003
118;Freddy Fender;Wasted Days And Wasted Nights;Pop/Rock;2003
119;Three Dog Night;Black And White;Pop/Rock;2003
120;Billy Preston;Outa-Space;Pop/Rock;2003
121;Eddie Kendricks;Boogie Down;Pop/Rock;2003
122;Pointer Sisters;Fairytale;Pop/Rock;2003
123;Captain & Tennille;The Way I Want To Touch You;Pop/Rock;2003
124;Donny Osmond;Go Away Little Girl;Pop/Rock;2003
125;Brothers Johnson;I'll Be Good To You;Pop/Rock;2003
126;Rita Coolidge;We're All Alone;Pop/Rock;2003
127;Argent;Hold Your Head Up;Pop/Rock;2003
128;Boston;More Than A Feeling;Pop/Rock;2003
129;Santana;Black Magic Woman;Pop/Rock;2003
130;Rick Derringer;Rock & Roll, Hoochie Koo;Pop/Rock;2003
131;The O'Jays;Love Train;Pop/Rock;2003
132;Wild Cherry;Play That Funky Music;Pop/Rock;2003
133;Paul Davis;I Go Crazy;Pop/Rock;2003
134;Looking Glass;Brandy (You're A Fine Girl);Pop/Rock;2003
135;The Emotions;Best Of My Love;Pop/Rock;2003
136;The Hollies;Long Cool Woman (In A Black Dress);Pop/Rock;2003
137;Michael Murphey;Wildfire;Pop/Rock;2003
138;Billy Paul;Me And Mrs. Jones;Pop/Rock;2003
139;Blue Oyster Cult;(Don't Fear) The Reaper;Pop/Rock;2003
140;Boz Scaggs;Lowdown;Pop/Rock;2003
141;Cheryl Lynn;Got To Be Real;Pop/Rock;2003
142;Dan Fogelberg;Longer;Pop/Rock;2003
143;Earth, Wind & Fire;Shining Star;Pop/Rock;2003
144;Toto;Hold The Line;Pop/Rock;2003
145;Bill Withers;Lean On Me;Pop/Rock;2003
146;Eddie Money;Baby Hold On;Pop/Rock;2003
147;Blondie;Heart Of Glass;Pop/Rock;2003
148;Nick Gilder;Hot Child In The City;Pop/Rock;2003
149;The Knack;My Sharona;Pop/Rock;2003
150;Little River Band;Reminiscing;Pop/Rock;2003
151;Sweet;Ballroom Blitz;Pop/Rock;2003
152;Don McLean;American Pie;Pop/Rock;2003
153;Pilot;Magic;Pop/Rock;2003
154;The Fortunes;Here Comes That Rainy Day Feeling Again;Pop/Rock;2003
155;Andy Kim;Rock Me Gently;Pop/Rock;2003
156;Crystal Gayle;Don't It Make My Brown Eyes Blue;Pop/Rock;2003
157;Nitty Gritty Dirt Band;Mr. Bojangles;Pop/Rock;2003
158;Blue Swede;Hooked On A Feeling;Pop/Rock;2003
159;Al Green;Let's Stay Together;Pop/Rock;2003
160;Maxine Nightingale;Right Back Where We Started From;Pop/Rock;2003
161;Sugarloaf;Green-Eyed Lady;Pop/Rock;2003
162;Cornelius Brothers & Sister Rose;Too Late To Turn Back Now;Pop/Rock;2003
163;A Taste Of Honey;Boogie Oogie Oogie;Pop/Rock;2003
164;Linda Ronstadt;You're No Good;Pop/Rock;2003
165;Pat Benatar;Heartbreaker;Pop/Rock;2003
166;The Righteous Brothers;Rock And Roll Heaven;Pop/Rock;2003
167;Captain & Tennille;Love Will Keep Us Together;Pop/Rock;2003
168;Free;All Right Now;Pop/Rock;2003
169;Donna Summer;Hot Stuff;Pop/Rock;2003
170;Joe Jackson;Is She Really Going Out With Him;Pop/Rock;2003
171;Billy Preston;Nothing From Nothing;Pop/Rock;2003
172;Lynyrd Skynyrd;What's Your Name;Pop/Rock;2003
173;Rose Royce;I Wanna Get Next To You;Pop/Rock;2003
174;10cc;The Things We Do For Love;Pop/Rock;2003
175;Peaches & Herb;Shake Your Groove Thing;Pop/Rock;2003
176;Donny & Marie Osmond;Morning Side Of The Mountain;Pop/Rock;2003
177;Michael Jackson;Rockin' Robin;Pop/Rock;2003
178;Rod Stewart;You Wear It Well;Pop/Rock;2003
179;Peter Frampton;I'm In You;Pop/Rock;2003
180;Rufus & Chaka Khan;Once You Get Started;Pop/Rock;2003
181;Kool & The Gang;Hollywood Swinging;Pop/Rock;2003
182;Rita Coolidge;Higher & Higher;Pop/Rock;2003
183;James Brown;Hot Pants (Pt.1);Pop/Rock;2003
184;B.J. Thomas;Don't Worry Baby;Pop/Rock;2003
185;The Osmonds;One Bad Apple;Pop/Rock;2003
186;Three Dog Night;Mama Told Me (Not To Come);Pop/Rock;2003
187;Bitz;Витамин;Pop;2019
188;Ani Karo;Я Дикая;Pop;2019
189;Nikita Lomakin;Зеркала (Ipunkz Remix);Pop;2019
190;Агонь;Океан;Pop;2019
191;Группа Суров;Жизнь (Kiss House Radio Remix);Pop;2019
192;Тимур Родригез;Без Тебя Легче;Pop;2019
193;Полиграф Шарикoff;Наприседала;Pop;2019
194;Dara, Leonid;Качели;Pop;2019
195;Женя Фокин;Только Бы Нам Доплыть;Pop;2019
196;Горячий Шоколад;Несломленная;Pop;2019
197;Ingvar;Две Карты;Pop;2019
198;#всмысле;А Я Люблю Мудака;Pop;2019
199;Arcash;Батя Pareshaet;Pop;2019
200;Mesch;Меладзе;Pop;2019
201;Dakooka;Выходи Из Воды Сухим;Pop;2019
202;Podzem;Шелест;Pop;2019
203;Pasha Clim, Gridasoff;Полуночный Кайф;Pop;2019
204;Giga1, Marul;Cyk;Pop;2019
205;Nadi;Dance;Pop;2019
206;Shark;Rari;Pop;2019
207;Inary;You Are My Way;Pop;2019
208;Shatu;Убиваю;Pop;2019
209;Shea;Снегом;Pop;2019
210;Govor;Сеньорита;Pop;2019
211;Дмитрий Климашенко, Shark;Mamacita;Pop;2019
212;Argentum;Dead Flowers;Pop;2019
213;Litty;Не Любовь;Pop;2019
214;Ester;Svet;Pop;2019
215;Макс Буринский;Стрелки Часов;Pop;2019
216;Мирослава Карташова;Ресницы Бабочки;Pop;2019
